name,description,address,city,state,zip,country,latitude,longitude,phone,website,hours,services,image_url
Cypress Lawn Memorial Park,"Historic cemetery in Colma California",1370 El Camino Real,Colma,CA,94014,US,37.6773,-122.4462,(650) 755-0580,https://cypresslawn.com/,"{""mon"":""8:30-17:00"",""tue"":""8:30-17:00"",""wed"":""8:30-17:00"",""thu"":""8:30-17:00"",""fri"":""8:30-17:00"",""sat"":""8:30-17:00"",""sun"":""8:30-17:00""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Mount Olivet Cemetery,"Historic cemetery in Washington DC",1300 Bladensburg Rd NE,Washington,DC,20002,US,38.9076,-76.9837,(202) 399-1004,,"{""mon"":""8:00-16:30"",""tue"":""8:00-16:30"",""wed"":""8:00-16:30"",""thu"":""8:00-16:30"",""fri"":""8:00-16:30"",""sat"":""8:00-16:30"",""sun"":""8:00-16:30""}","[""burial"",""mausoleum""]",
Lake View Cemetery,"Historic cemetery in Cleveland with Garfield Memorial",12316 Euclid Ave,Cleveland,OH,44106,US,41.5150,-81.5940,(216) 421-2665,https://lakeviewcemetery.com/,"{""mon"":""7:30-17:30"",""tue"":""7:30-17:30"",""wed"":""7:30-17:30"",""thu"":""7:30-17:30"",""fri"":""7:30-17:30"",""sat"":""7:30-17:30"",""sun"":""7:30-17:30""}","[""burial"",""mausoleum"",""columbarium""]",
Bellefontaine Cemetery,"Historic garden cemetery in St Louis",4947 W Florissant Ave,St. Louis,MO,63115,US,38.6701,-90.2235,(314) 381-0750,https://bellefontainecemetery.com/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Elmwood Cemetery,"Historic cemetery in Memphis Tennessee",824 S Dudley St,Memphis,TN,38104,US,35.1176,-90.0295,(901) 774-3212,https://elmwoodcemetery.org/,"{""mon"":""8:00-16:30"",""tue"":""8:00-16:30"",""wed"":""8:00-16:30"",""thu"":""8:00-16:30"",""fri"":""8:00-16:30"",""sat"":""8:00-16:30"",""sun"":""8:00-16:30""}","[""burial"",""cremation"",""mausoleum""]",
Metairie Cemetery,"Famous New Orleans cemetery with elaborate monuments",5100 Pontchartrain Blvd,New Orleans,LA,70124,US,29.9906,-90.1075,(504) 486-6331,https://www.metairiecemetery.com/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""mausoleum"",""columbarium""]",
Oakland Cemetery,"Historic cemetery in Atlanta Georgia",248 Oakland Ave SE,Atlanta,GA,30312,US,33.7481,-84.3763,(404) 688-2107,https://www.oaklandcemetery.com/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Rose Hills Memorial Park,"Largest cemetery in the US by interments",3888 Workman Mill Rd,Whittier,CA,90601,US,33.9917,-118.0308,(562) 699-0921,https://www.rosehills.com/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""cremation"",""mausoleum"",""columbarium"",""pet burial""]",
Westminster Memorial Park,"Cemetery in Orange County California",14801 Beach Blvd,Westminster,CA,92683,US,33.7497,-117.9897,(714) 893-2421,,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Cave Hill Cemetery,"Historic cemetery in Louisville Kentucky",701 Baxter Ave,Louisville,KY,40204,US,38.2432,-85.7279,(502) 585-4282,https://www.cavehillcemetery.com/,"{""mon"":""8:00-16:30"",""tue"":""8:00-16:30"",""wed"":""8:00-16:30"",""thu"":""8:00-16:30"",""fri"":""8:00-16:30"",""sat"":""8:00-16:30"",""sun"":""8:00-16:30""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Spring Grove Cemetery,"Second largest cemetery in the US",4521 Spring Grove Ave,Cincinnati,OH,45232,US,39.1667,-84.5261,(513) 681-7520,https://www.springgrove.org/,"{""mon"":""8:00-17:00"",""tue"":""8:00-17:00"",""wed"":""8:00-17:00"",""thu"":""8:00-17:00"",""fri"":""8:00-17:00"",""sat"":""8:00-17:00"",""sun"":""8:00-17:00""}","[""burial"",""cremation"",""mausoleum"",""columbarium""]",
Pere Lachaise Cemetery,"Famous cemetery in Paris France - reference only","16 Rue du Repos",Paris,,75020,FR,48.8611,2.3938,+33 1 55 25 82 10,https://www.perelachaise.com/,"{""mon"":""8:00-17:30"",""tue"":""8:00-17:30"",""wed"":""8:00-17:30"",""thu"":""8:00-17:30"",""fri"":""8:00-17:30"",""sat"":""8:30-17:30"",""sun"":""9:00-17:30""}","[""burial"",""cremation"",""columbarium""]",
Highgate Cemetery,"Famous Victorian cemetery in London","Swains Lane",London,N6 6PJ,GB,51.5669,-0.1469,+44 20 8340 1834,https://highgatecemetery.org/,"{""mon"":""10:00-16:00"",""tue"":""10:00-16:00"",""wed"":""10:00-16:00"",""thu"":""10:00-16:00"",""fri"":""10:00-16:00"",""sat"":""10:00-16:00"",""sun"":""10:00-16:00""}","[""burial"",""cremation"",""columbarium""]",
